Image,Match_Type,AI_Index,GT_Index,IoU,GT_Area_px,AI_Area_px,GT_Area_um2,AI_Area_um2,Conf,Half_Mode,Tag
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,2,8,0.942796,11645,12129,5615.8372,5849.2477,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,10,0,0.934322,13076,13136,6305.9414,6334.8765,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,3,5,0.931149,16242,16771,7832.7546,8087.8665,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,12,16,0.929371,7047,7267,3398.4375,3504.5332,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,1,9,0.915615,5363,5715,2586.3233,2756.0764,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,0,19,0.899746,34119,32431,16453.9931,15639.9498,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,7,12,0.898861,4943,5064,2383.777,2442.1296,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,4,15,0.893303,1621,1715,781.7323,827.064,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,17,11,0.892991,27873,29708,13441.8403,14326.7747,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,5,1,0.887464,2822,3065,1360.9182,1478.1057,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,6,10,0.878534,3976,4329,1917.4383,2087.6736,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,15,18,0.862997,5112,5889,2465.2778,2839.9884,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,14,17,0.840208,15095,13857,7279.6103,6682.581,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,8,6,0.821133,15321,13065,7388.5995,6300.6366,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,13,7,0.782689,887,1049,427.7585,505.8835,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,16,13,0.667544,2117,2949,1020.9298,1422.1644,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,FP,9,-1,0.0,0,3155,0.0,1521.5085,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,FP,11,-1,0.0,0,2222,0.0,1071.5664,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,FP,18,-1,0.0,0,13315,0.0,6421.1998,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,FP,19,-1,0.0,0,3507,0.0,1691.2616,0.46,False,baseline
